0,1,2
which airline serves denver pittsburgh and atlanta," ""O O O B-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name"""," ""airline"""
show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm," ""O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.date_relative O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time"""," ""flight"""
atlanta ground transportation," ""B-city_name O O"""," ""ground_service"""
i also need service from dallas to boston arriving by noon," ""O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time"""," ""flight"""
show me the cheapest round trip fare from baltimore to dallas," ""O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
show me all flights from new york to milwaukee on northwest airlines departing at 720 am," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time I-depart_time.time"""," ""flight"""
flights from new york to miami," ""O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
please find a flight on delta from philadelphia to san francisco and give me the flight numbers," ""O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O O"""," ""flight"""
i need a flight from dallas to san francisco," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
fares and flights from pittsburgh to philadelphia," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
show me the airlines with first class flights," ""O O O O O B-class_type I-class_type O"""," ""airline"""
what are the flights from st. louis to burbank sunday evening," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
i 'd like to arrange a flight from pittsburgh to atlanta," ""O O O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show flights from baltimore to san francisco between 6 pm and 8 pm on friday," ""O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name"""," ""flight"""
how far is it from orlando airport to orlando," ""O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name"""," ""distance"""
i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december," ""O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O B-depart_date.day_number I-depart_date.day_number O O B-depart_date.day_number I-depart_date.day_number O B-depart_date.month_name"""," ""flight"""
which airline has the most arrivals in atlanta," ""O O O O B-mod O O B-toloc.city_name"""," ""airline"""
what airlines fly from new york to milwaukee to los angeles," ""O O O O B-fromloc.city_name I-fromloc.city_name O B-stoploc.city_name O B-toloc.city_name I-toloc.city_name"""," ""airline"""
pittsburgh to denver," ""B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
which airlines serve atlanta," ""O O O B-city_name"""," ""airline"""
show me information on ground transportation for dallas," ""O O O O O O O B-city_name"""," ""ground_service"""
what is fare code h," ""O O O O B-fare_basis_code"""," ""abbreviation"""
show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O B-arrive_time.time_relative B-arrive_time.time"""," ""flight"""
i need a flight from charlotte to newark leaving today evening," ""O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.today_relative B-depart_time.period_of_day"""," ""flight"""
what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh," ""O O O B-flight_time O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number"""," ""flight_time"""
flights from newark to cleveland," ""O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what flights go from boston to pittsburgh after 6 o'clock next tuesday," ""O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.date_relative B-depart_date.day_name"""," ""flight"""
how much does the limousine service cost within pittsburgh," ""O O O O B-transport_type O O O B-city_name"""," ""ground_fare"""
does us air have any flights out of atlanta to denver," ""O B-airline_name I-airline_name O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what is booking class c," ""O O O O B-fare_basis_code"""," ""abbreviation"""
i 'd like to know the shortest trip between boston and san francisco," ""O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday," ""O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
what is the least expensive flight from denver to atlanta," ""O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
i need to know information for flights leaving dallas on tuesday evening and returning to atlanta," ""O O O O O O O O B-fromloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O O B-toloc.city_name"""," ""flight"""
what flight goes from denver to baltimore first class on united airlines arriving on may seventh," ""O O O O B-fromloc.city_name O B-toloc.city_name B-class_type I-class_type O B-airline_name I-airline_name O O B-arrive_date.month_name B-arrive_date.day_number"""," ""flight"""
could you please tell me the airlines that fly from toronto to san diego," ""O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""airline"""
what flights do you have from burbank to tacoma washington," ""O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name"""," ""flight"""
what is the ground transportation from philadelphia airport to the city proper," ""O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O"""," ""ground_service"""
which airlines have first class flights today," ""O O O B-class_type I-class_type O B-depart_date.today_relative"""," ""airline"""
find the latest flight from san francisco to atlanta that serves a meal," ""O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-meal"""," ""flight"""
i would like to make a reservation for a flight to denver from philadelphia on this coming sunday," ""O O O O O O O O O O O B-toloc.city_name O B-fromloc.city_name O B-depart_date.date_relative O B-depart_date.day_name"""," ""flight"""
give me a list of airports in baltimore," ""O O O O O O O B-city_name"""," ""airport"""
show me flights from boston to denver on wednesday," ""O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
show me the flights from boston to baltimore," ""O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what does fare code q mean," ""O O O O B-fare_basis_code O"""," ""abbreviation"""
please give me the flights from san francisco to washington dc," ""O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code"""," ""flight"""
i need information from denver to pittsburgh," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
from seattle to salt lake city," ""O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name"""," ""flight"""
what is the earliest flight from boston to bwi that serves a snack," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.airport_code O O O B-meal_description"""," ""flight"""
what types of aircraft does delta fly," ""O O O O O B-airline_name O"""," ""aircraft"""
what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth," ""O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O B-return_date.month_name B-return_date.day_number"""," ""airfare"""
give me the flights leaving denver august ninth coming back to boston," ""O O O O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number O O O B-toloc.city_name"""," ""flight"""
list all the flights that fly into general mitchell international," ""O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name"""," ""flight"""
what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday," ""O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.day_name B-depart_date.day_name B-depart_date.day_name O B-depart_date.day_name"""," ""flight"""
list all flights from indianapolis to seattle," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
in flight meal oakland to philadelphia saturday," ""O O B-meal B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name"""," ""flight"""
show me the flights on twa from atlanta in the morning," ""O O O O O B-airline_code O B-fromloc.city_name O O B-depart_time.period_of_day"""," ""flight"""
i want to find the first flight from baltimore to boston that serves a meal," ""O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-meal"""," ""flight"""
of all airlines which airline has the most arrivals in atlanta," ""O O O O O O O B-mod O O B-toloc.city_name"""," ""airline"""
display all flights from baltimore to boston on july twenty ninth," ""O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number"""," ""flight"""
i want to travel from atlanta to baltimore early in the morning first flight," ""O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day B-flight_mod O"""," ""flight"""
i now need a flight from san jose to houston leaving on sunday the fourth," ""O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O B-depart_date.day_number"""," ""flight"""
what are the flights available after 6 pm between san francisco and boston," ""O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what flights depart baltimore on friday and arrive in san francisco by 8 pm," ""O O O B-fromloc.city_name O B-depart_date.day_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time"""," ""flight"""
show me flights from boston to san francisco," ""O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
list the delta airlines flights from boston to philadelphia," ""O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me the fares from dallas to san francisco," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""airfare"""
what nonstop flights between boston and washington arrive after 4 o'clock pm," ""O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time"""," ""flight"""
what is the distance from los angeles international airport to los angeles," ""O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name I-toloc.city_name"""," ""distance"""
ground transportation in san jose," ""O O O B-city_name I-city_name"""," ""ground_service"""
please tell me how many nonstop flights there are from boston to atlanta," ""O O O O O B-flight_stop O O O O B-fromloc.city_name O B-toloc.city_name"""," ""quantity"""
on the earliest flight from san francisco to atlanta on delta is a meal being served," ""O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-airline_name O O B-meal O O"""," ""flight"""
where does canadian airlines international fly," ""O O B-airline_name I-airline_name I-airline_name O"""," ""flight"""
what flights from denver to pittsburgh arrive before 8 in the morning," ""O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time O O B-arrive_time.period_of_day"""," ""flight"""
find me the earliest flight from boston to atlanta," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
list nonstop flights from houston to dallas which arrive before midnight," ""O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.period_of_day"""," ""flight"""
show me the flights from boston to san francisco that stop in atlanta," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name"""," ""flight"""
show me flights to san francisco from philadelphia stopping in dallas," ""O O O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name O O B-stoploc.city_name"""," ""flight"""
what city is the airport mco in," ""O O O O O B-fromloc.airport_code O"""," ""city"""
how much does it cost to rent a car in tacoma," ""O O O O O O O O B-transport_type O B-city_name"""," ""ground_fare"""
show me flights from baltimore to dallas," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me a list of ground transportation at denver," ""O O O O O O O O B-city_name"""," ""ground_service"""
i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available," ""O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-stoploc.city_name O O B-meal_description O O O"""," ""flight"""
also show me flights from san francisco to pittsburgh on tuesday," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
show flights from dallas to oakland," ""O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
give me the cheapest flight from charlotte to long beach," ""O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
show me all flights from san francisco to pittsburgh," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
find me a flight on united from boston to san francisco with a stopover in denver," ""O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name"""," ""flight"""
show me the last flight from love field," ""O O O B-flight_mod O O B-fromloc.airport_name I-fromloc.airport_name"""," ""flight"""
what flights go from newark to boston after 5 pm," ""O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time"""," ""flight"""
what are all the flights from boston to dallas," ""O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what is the earliest flight departing san francisco and arriving in boston on november ninth," ""O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number"""," ""flight"""
what is the earliest flight flying from pittsburgh to atlanta on july fifth," ""O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number"""," ""flight"""
please list available flights for next saturday from philadelphia to dallas," ""O O O O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday," ""O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name"""," ""flight"""
what is the transportation time from the airport to boston," ""O O O O B-time O O O O B-toloc.city_name"""," ""ground_service"""
which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth," ""O O O O B-mod O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number"""," ""airline"""
what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two," ""O O O B-flight_stop O O B-airline_name I-airline_name B-or B-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number"""," ""flight"""
what are the classes of service for american airlines," ""O O O O O O O B-airline_name I-airline_name"""," ""flight"""
i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you," ""O O O O O O O O O O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-fromloc.city_name O B-toloc.city_name O O"""," ""flight"""
all flights from boston to washington dc on november tenth," ""O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.month_name B-depart_date.day_number"""," ""flight"""
what are the flights from denver to san francisco," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
on the 8 am flight from san francisco to atlanta what type of aircraft is used," ""O O B-depart_time.time I-depart_time.time O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O O O"""," ""aircraft"""
which flight is a one way fare at 329 dollars from denver to pittsburgh," ""O O O O B-round_trip I-round_trip O O B-fare_amount I-fare_amount O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what flights leave baltimore for boston after 6 o'clock on friday," ""O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name"""," ""flight"""
okay i need to get a flight from houston to seattle," ""O O O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
please list flights between denver and boston," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon," ""O O O O O O B-flight_stop O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.start_time O B-depart_time.end_time O O B-depart_time.period_of_day"""," ""flight"""
i would like some information on flights leaving boston to atlanta," ""O O O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me the latest nonstop flight from denver to washington dc," ""O O O B-flight_mod B-flight_stop O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code"""," ""flight"""
what are the flights from dallas to baltimore," ""O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
i would like a nonstop flight from new york to las vegas on march second," ""O O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number"""," ""flight"""
no i want to go from denver to oakland," ""O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me all the night fares between philadelphia and san francisco," ""O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""airfare"""
what kinds of ground transportation is available in dallas fort worth," ""O O O O O O O O B-city_name I-city_name I-city_name"""," ""ground_service"""
can you show me economy class one way fares for flights from oakland to dallas on december sixteenth," ""O O O O B-economy I-economy B-round_trip I-round_trip O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number"""," ""airfare"""
what is fare code qw," ""O O O O B-fare_basis_code"""," ""abbreviation"""
i 'd like a flight on july ninth from orlando to kansas city in the afternoon," ""O O O O O O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day"""," ""flight"""
what are the coach fares from charlotte to la wednesday night," ""O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day"""," ""airfare"""
is there ground transportation available in denver," ""O O O O O O B-city_name"""," ""ground_service"""
show me flights from philadelphia to oakland on friday," ""O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name"""," ""flight"""
i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning," ""O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.day_name B-arrive_time.period_of_day"""," ""flight"""
i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning," ""O O O O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
list the flight from philadelphia to san francisco on american airlines," ""O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name"""," ""flight"""
flights from memphis to las vegas on sunday," ""O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name"""," ""flight"""
what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O B-depart_time.time_relative B-depart_time.time I-depart_time.time"""," ""flight"""
what is the first class fare on united flight 352 from denver to boston," ""O O O B-class_type I-class_type O O B-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
flight from philadelphia to dallas arriving before 4 pm on saturday," ""O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name"""," ""flight"""
list flights tomorrow from san diego to phoenix," ""O O B-depart_date.today_relative O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me all flights from san francisco to washington dc area," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code O"""," ""flight"""
sure i want to go from philadelphia to dallas," ""O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
show me all the united airlines flights leaving dallas," ""O O O O B-airline_name I-airline_name O O B-fromloc.city_name"""," ""flight"""
can you list all the flights between phoenix and las vegas," ""O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
list all flights from baltimore to philadelphia," ""O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
round trip flights from minneapolis to san diego coach economy fare," ""B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-class_type B-economy O"""," ""flight"""
i want to fly from boston to denver and i don 't want any stopovers and i 'd like to fly only during the afternoon," ""O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O O O O O O O O O O O B-depart_time.period_of_day"""," ""flight"""
flights from denver to baltimore between 10 am and 2 pm," ""O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time"""," ""flight"""
show me the flights from denver to atlanta," ""O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what flights are there on delta from boston to dallas," ""O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what kind of ground transportation can you offer me in seattle," ""O O O O O O O O O O B-city_name"""," ""ground_service"""
leaving washington going to san francisco the latest flight," ""O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name O B-flight_mod O"""," ""flight"""
show me the flights available from atlanta to baltimore leaving atlanta in the morning," ""O O O O O O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O O B-depart_time.period_of_day"""," ""flight"""
round trip fares new york to san jose," ""B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""airfare"""
which flights are serviced by american airlines," ""O O O O O B-airline_name I-airline_name"""," ""flight"""
how do i get from pittsburgh airport to downtown pittsburgh," ""O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name"""," ""flight"""
does midwest express serve charlotte," ""O B-airline_name O O B-city_name"""," ""flight"""
what flights from houston to milwaukee on friday in the evening on american airlines," ""O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O B-depart_time.period_of_day O B-airline_name I-airline_name"""," ""flight"""
what is the earliest flight going from san francisco to dallas on monday august nineteenth," ""O O O B-flight_mod O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number"""," ""flight"""
what flights from atlanta to st. louis on tuesday arriving around 230 pm," ""O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time"""," ""flight"""
i need a flight from kansas city to chicago that leaves wednesday and arrives in chicago around 7 pm," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time"""," ""flight"""
i would like information on any flights from pittsburgh to san francisco leaving thursday evening," ""O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
i need a cheap flight from baltimore to san francisco," ""O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
what is the cost of a first class ticket from baltimore to dallas," ""O O O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
what is the economy thrift fare from boston to washington," ""O O O B-economy B-class_type O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
list the nonstop flights early tuesday morning from dallas to atlanta," ""O O B-flight_stop O B-arrive_time.period_mod B-arrive_date.day_name B-arrive_time.period_of_day O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what is the earliest flight you have that leaves philadelphia to dallas," ""O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
